params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1024,fp16,0.0107,0.0166,0.0077,0.65,1.40
N=1024,bf16,0.0108,0.0165,0.0077,0.66,1.40
N=1024,fp32,0.0155,0.0189,0.0130,0.82,1.19
N=2048,fp16,0.0181,0.0289,0.0142,0.63,1.27
N=2048,bf16,0.0183,0.0290,0.0144,0.63,1.27
N=2048,fp32,0.0251,0.0309,0.0233,0.81,1.08
N=3072,fp16,0.0250,0.0390,0.0200,0.64,1.25
N=3072,bf16,0.0248,0.0394,0.0202,0.63,1.23
N=3072,fp32,0.0372,0.0427,0.0287,0.87,1.30
N=4096,fp16,0.0317,0.0497,0.0251,0.64,1.26
N=4096,bf16,0.0322,0.0499,0.0253,0.65,1.27
N=4096,fp32,0.0502,0.0536,0.0377,0.94,1.33
N=5120,fp16,0.0401,0.0596,0.0298,0.67,1.34
N=5120,bf16,0.0407,0.0599,0.0300,0.68,1.36
N=5120,fp32,0.0660,0.0647,0.0436,1.02,1.51
N=6144,fp16,0.0489,0.0700,0.0351,0.70,1.39
N=6144,bf16,0.0488,0.0701,0.0354,0.70,1.38
N=6144,fp32,0.0781,0.0756,0.0522,1.03,1.50
N=7168,fp16,0.0566,0.0804,0.0401,0.70,1.41
N=7168,bf16,0.0570,0.0808,0.0402,0.71,1.42
N=7168,fp32,0.0903,0.0867,0.0596,1.04,1.51
N=8192,fp16,0.0639,0.0907,0.0450,0.71,1.42
N=8192,bf16,0.0645,0.0910,0.0452,0.71,1.43
N=8192,fp32,0.1024,0.0978,0.0662,1.05,1.55
N=9216,fp16,0.0710,0.1011,0.0494,0.70,1.44
N=9216,bf16,0.0715,0.1013,0.0497,0.71,1.44
N=9216,fp32,0.1142,0.1089,0.0742,1.05,1.54
N=10240,fp16,0.0779,0.1113,0.0541,0.70,1.44
N=10240,bf16,0.0784,0.1115,0.0543,0.70,1.44
N=10240,fp32,0.1258,0.1198,0.0807,1.05,1.56
N=11264,fp16,0.0850,0.1214,0.0587,0.70,1.45
N=11264,bf16,0.0857,0.1216,0.0591,0.70,1.45
N=11264,fp32,0.1377,0.1308,0.0887,1.05,1.55
N=12288,fp16,0.0920,0.1317,0.0637,0.70,1.45
N=12288,bf16,0.0927,0.1319,0.0639,0.70,1.45
N=12288,fp32,0.1496,0.1418,0.0952,1.05,1.57
N=13312,fp16,0.0994,0.1422,0.0682,0.70,1.46
N=13312,bf16,0.0998,0.1424,0.0687,0.70,1.45
N=13312,fp32,0.1614,0.1528,0.1031,1.06,1.57
N=14336,fp16,0.1061,0.1525,0.0728,0.70,1.46
N=14336,bf16,0.1067,0.1524,0.0733,0.70,1.46
N=14336,fp32,0.1733,0.1638,0.1105,1.06,1.57
N=15360,fp16,0.1130,0.1624,0.0774,0.70,1.46
N=15360,bf16,0.1142,0.1630,0.0780,0.70,1.46
N=15360,fp32,0.1852,0.1749,0.1170,1.06,1.58
N=16384,fp16,0.1205,0.1729,0.0824,0.70,1.46
N=16384,bf16,0.1211,0.1732,0.0830,0.70,1.46
N=16384,fp32,0.1969,0.1858,0.1246,1.06,1.58
N=17408,fp16,0.1273,0.1831,0.0870,0.70,1.46
N=17408,bf16,0.1283,0.1835,0.0876,0.70,1.47
N=17408,fp32,0.2089,0.1969,0.1317,1.06,1.59
N=18432,fp16,0.1347,0.1933,0.0918,0.70,1.47
N=18432,bf16,0.1356,0.1937,0.0926,0.70,1.46
N=18432,fp32,0.2211,0.2077,0.1392,1.06,1.59
N=19456,fp16,0.1412,0.2034,0.0965,0.69,1.46
N=19456,bf16,0.1425,0.2038,0.0969,0.70,1.47
N=19456,fp32,0.2327,0.2190,0.1460,1.06,1.59
N=20480,fp16,0.1483,0.2137,0.1010,0.69,1.47
N=20480,bf16,0.1499,0.2140,0.1018,0.70,1.47
N=20480,fp32,0.2446,0.2298,0.1532,1.06,1.60
