params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1024,fp16,0.0107,0.0274,0.0081,0.39,1.32
N=1024,bf16,0.0108,0.0272,0.0081,0.40,1.34
N=1024,fp32,0.0152,0.0291,0.0111,0.52,1.37
N=2048,fp16,0.0180,0.0491,0.0155,0.37,1.17
N=2048,bf16,0.0186,0.0493,0.0155,0.38,1.20
N=2048,fp32,0.0253,0.0503,0.0188,0.50,1.35
N=3072,fp16,0.0250,0.0697,0.0214,0.36,1.17
N=3072,bf16,0.0246,0.0697,0.0217,0.35,1.13
N=3072,fp32,0.0377,0.0714,0.0261,0.53,1.44
N=4096,fp16,0.0317,0.0906,0.0275,0.35,1.15
N=4096,bf16,0.0320,0.0904,0.0282,0.35,1.13
N=4096,fp32,0.0496,0.0926,0.0335,0.54,1.48
N=5120,fp16,0.0404,0.1114,0.0337,0.36,1.20
N=5120,bf16,0.0403,0.1111,0.0343,0.36,1.18
N=5120,fp32,0.0661,0.1137,0.0411,0.58,1.61
N=6144,fp16,0.0487,0.1320,0.0400,0.37,1.22
N=6144,bf16,0.0489,0.1315,0.0400,0.37,1.22
N=6144,fp32,0.0786,0.1346,0.0484,0.58,1.62
N=7168,fp16,0.0565,0.1524,0.0452,0.37,1.25
N=7168,bf16,0.0572,0.1521,0.0463,0.38,1.24
N=7168,fp32,0.0903,0.1555,0.0546,0.58,1.65
N=8192,fp16,0.0640,0.1728,0.0516,0.37,1.24
N=8192,bf16,0.0642,0.1725,0.0521,0.37,1.23
N=8192,fp32,0.1021,0.1764,0.0629,0.58,1.62
N=9216,fp16,0.0710,0.1935,0.0567,0.37,1.25
N=9216,bf16,0.0713,0.1933,0.0576,0.37,1.24
N=9216,fp32,0.1136,0.1977,0.0693,0.57,1.64
N=10240,fp16,0.0783,0.2141,0.0630,0.37,1.24
N=10240,bf16,0.0784,0.2137,0.0631,0.37,1.24
N=10240,fp32,0.1256,0.2186,0.0767,0.57,1.64
N=11264,fp16,0.0853,0.2346,0.0683,0.36,1.25
N=11264,bf16,0.0856,0.2343,0.0692,0.37,1.24
N=11264,fp32,0.1376,0.2395,0.0840,0.57,1.64
N=12288,fp16,0.0920,0.2551,0.0744,0.36,1.24
N=12288,bf16,0.0927,0.2547,0.0749,0.36,1.24
N=12288,fp32,0.1496,0.2607,0.0909,0.57,1.65
N=13312,fp16,0.0992,0.2755,0.0799,0.36,1.24
N=13312,bf16,0.0997,0.2751,0.0806,0.36,1.24
N=13312,fp32,0.1619,0.2815,0.0983,0.58,1.65
N=14336,fp16,0.1062,0.2961,0.0852,0.36,1.25
N=14336,bf16,0.1071,0.2956,0.0872,0.36,1.23
N=14336,fp32,0.1737,0.3025,0.1048,0.57,1.66
N=15360,fp16,0.1132,0.3166,0.0915,0.36,1.24
N=15360,bf16,0.1141,0.3161,0.0926,0.36,1.23
N=15360,fp32,0.1853,0.3234,0.1119,0.57,1.66
N=16384,fp16,0.1204,0.3373,0.0968,0.36,1.24
N=16384,bf16,0.1214,0.3367,0.0986,0.36,1.23
N=16384,fp32,0.1972,0.3444,0.1186,0.57,1.66
N=17408,fp16,0.1272,0.3577,0.1028,0.36,1.24
N=17408,bf16,0.1283,0.3571,0.1037,0.36,1.24
N=17408,fp32,0.2089,0.3656,0.1254,0.57,1.67
N=18432,fp16,0.1344,0.3785,0.1083,0.36,1.24
N=18432,bf16,0.1355,0.3780,0.1096,0.36,1.24
N=18432,fp32,0.2211,0.3866,0.1331,0.57,1.66
N=19456,fp16,0.1415,0.3990,0.1138,0.35,1.24
N=19456,bf16,0.1423,0.3985,0.1153,0.36,1.23
N=19456,fp32,0.2328,0.4078,0.1405,0.57,1.66
N=20480,fp16,0.1481,0.4193,0.1197,0.35,1.24
N=20480,bf16,0.1496,0.4188,0.1215,0.36,1.23
N=20480,fp32,0.2452,0.4286,0.1471,0.57,1.67
