params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp16,0.0024,0.0099,0.0025,0.25,0.96
n=1048576,bf16,0.0024,0.0102,0.0024,0.23,0.99
n=1048576,fp32,0.0030,0.0108,0.0030,0.27,0.98
n=1048576,int8,0.0022,0.0099,0.0023,0.22,0.96
n=2097152,fp16,0.0031,0.0153,0.0031,0.20,1.01
n=2097152,bf16,0.0031,0.0153,0.0031,0.20,0.97
n=2097152,fp32,0.0050,0.0165,0.0050,0.30,1.00
n=2097152,int8,0.0026,0.0157,0.0031,0.17,0.86
n=3145728,fp16,0.0046,0.0225,0.0045,0.21,1.03
n=3145728,bf16,0.0045,0.0223,0.0043,0.20,1.04
n=3145728,fp32,0.0080,0.0237,0.0080,0.34,1.00
n=3145728,int8,0.0032,0.0212,0.0037,0.15,0.87
n=4194304,fp16,0.0057,0.0274,0.0056,0.21,1.02
n=4194304,bf16,0.0058,0.0275,0.0057,0.21,1.03
n=4194304,fp32,0.0102,0.0292,0.0102,0.35,1.00
n=4194304,int8,0.0037,0.0256,0.0042,0.14,0.87
n=5242880,fp16,0.0069,0.0329,0.0066,0.21,1.03
n=5242880,bf16,0.0069,0.0330,0.0067,0.21,1.03
n=5242880,fp32,0.0123,0.0346,0.0126,0.36,0.98
n=5242880,int8,0.0045,0.0308,0.0051,0.14,0.88
n=6291456,fp16,0.0083,0.0384,0.0082,0.22,1.02
n=6291456,bf16,0.0084,0.0385,0.0082,0.22,1.03
n=6291456,fp32,0.0144,0.0396,0.0144,0.36,1.00
n=6291456,int8,0.0051,0.0360,0.0058,0.14,0.88
n=7340032,fp16,0.0097,0.0439,0.0095,0.22,1.01
n=7340032,bf16,0.0098,0.0439,0.0097,0.22,1.01
n=7340032,fp32,0.0160,0.0452,0.0160,0.35,1.00
n=7340032,int8,0.0057,0.0412,0.0064,0.14,0.89
n=8388608,fp16,0.0109,0.0492,0.0109,0.22,1.00
n=8388608,bf16,0.0110,0.0490,0.0108,0.23,1.02
n=8388608,fp32,0.0179,0.0504,0.0181,0.36,0.99
n=8388608,int8,0.0065,0.0467,0.0072,0.14,0.90
n=9437184,fp16,0.0118,0.0543,0.0116,0.22,1.02
n=9437184,bf16,0.0119,0.0542,0.0118,0.22,1.01
n=9437184,fp32,0.0199,0.0556,0.0197,0.36,1.01
n=9437184,int8,0.0070,0.0520,0.0078,0.13,0.90
n=10485760,fp16,0.0128,0.0594,0.0125,0.22,1.02
n=10485760,bf16,0.0130,0.0596,0.0130,0.22,1.01
n=10485760,fp32,0.0219,0.0609,0.0220,0.36,0.99
n=10485760,int8,0.0079,0.0577,0.0087,0.14,0.91
n=11534336,fp16,0.0141,0.0647,0.0138,0.22,1.02
n=11534336,bf16,0.0138,0.0648,0.0136,0.21,1.01
n=11534336,fp32,0.0236,0.0662,0.0236,0.36,1.00
n=11534336,int8,0.0086,0.0627,0.0095,0.14,0.90
n=12582912,fp16,0.0147,0.0698,0.0143,0.21,1.03
n=12582912,bf16,0.0149,0.0698,0.0145,0.21,1.03
n=12582912,fp32,0.0254,0.0713,0.0254,0.36,1.00
n=12582912,int8,0.0093,0.0680,0.0103,0.14,0.90
n=13631488,fp16,0.0160,0.0750,0.0152,0.21,1.05
n=13631488,bf16,0.0158,0.0749,0.0154,0.21,1.02
n=13631488,fp32,0.0271,0.0765,0.0271,0.35,1.00
n=13631488,int8,0.0101,0.0730,0.0109,0.14,0.93
n=14680064,fp16,0.0171,0.0802,0.0163,0.21,1.05
n=14680064,bf16,0.0171,0.0801,0.0167,0.21,1.03
n=14680064,fp32,0.0290,0.0821,0.0290,0.35,1.00
n=14680064,int8,0.0108,0.0783,0.0118,0.14,0.91
n=15728640,fp16,0.0179,0.0854,0.0170,0.21,1.05
n=15728640,bf16,0.0179,0.0853,0.0171,0.21,1.05
n=15728640,fp32,0.0308,0.0873,0.0309,0.35,1.00
n=15728640,int8,0.0115,0.0834,0.0125,0.14,0.92
n=16777216,fp16,0.0190,0.0904,0.0182,0.21,1.05
n=16777216,bf16,0.0193,0.0906,0.0181,0.21,1.06
n=16777216,fp32,0.0327,0.0926,0.0326,0.35,1.00
n=16777216,int8,0.0122,0.0885,0.0133,0.14,0.92
n=17825792,fp16,0.0202,0.0958,0.0192,0.21,1.05
n=17825792,bf16,0.0200,0.0958,0.0191,0.21,1.05
n=17825792,fp32,0.0345,0.0979,0.0346,0.35,1.00
n=17825792,int8,0.0129,0.0934,0.0139,0.14,0.93
n=18874368,fp16,0.0212,0.1007,0.0199,0.21,1.06
n=18874368,bf16,0.0209,0.1008,0.0199,0.21,1.05
n=18874368,fp32,0.0364,0.1030,0.0364,0.35,1.00
n=18874368,int8,0.0134,0.0986,0.0146,0.14,0.92
n=19922944,fp16,0.0219,0.1061,0.0206,0.21,1.06
n=19922944,bf16,0.0220,0.1061,0.0205,0.21,1.07
n=19922944,fp32,0.0384,0.1084,0.0385,0.35,1.00
n=19922944,int8,0.0141,0.1035,0.0153,0.14,0.92
n=20971520,fp16,0.0230,0.1112,0.0219,0.21,1.05
n=20971520,bf16,0.0230,0.1113,0.0220,0.21,1.04
n=20971520,fp32,0.0399,0.1136,0.0399,0.35,1.00
n=20971520,int8,0.0146,0.1088,0.0160,0.13,0.91
