params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
M=512,fp16,0.0269,0.0051,0.0029,5.30,9.37
M=512,bf16,0.0271,0.0050,0.0027,5.42,10.21
M=512,fp32,0.0178,0.0052,0.0029,3.40,6.17
M=1024,fp16,0.0374,0.0053,0.0052,7.11,7.15
M=1024,bf16,0.0381,0.0054,0.0052,7.02,7.26
M=1024,fp32,0.0258,0.0056,0.0054,4.63,4.80
M=1536,fp16,0.0585,0.0071,0.0095,8.27,6.18
M=1536,bf16,0.0582,0.0077,0.0095,7.59,6.14
M=1536,fp32,0.0393,0.0080,0.0100,4.92,3.92
M=2048,fp16,0.0866,0.0098,0.0167,8.83,5.18
M=2048,bf16,0.0877,0.0099,0.0169,8.85,5.20
M=2048,fp32,0.0603,0.0118,0.0167,5.09,3.60
M=2560,fp16,0.1385,0.0145,0.0231,9.53,5.99
M=2560,bf16,0.1381,0.0145,0.0233,9.54,5.92
M=2560,fp32,0.0984,0.0168,0.0240,5.86,4.10
M=3072,fp16,0.1994,0.0185,0.0326,10.79,6.12
M=3072,bf16,0.2000,0.0184,0.0326,10.86,6.13
M=3072,fp32,0.1399,0.0214,0.0330,6.54,4.24
M=3584,fp16,0.2661,0.0260,0.0431,10.24,6.18
M=3584,bf16,0.2680,0.0262,0.0433,10.22,6.18
M=3584,fp32,0.1892,0.0282,0.0468,6.72,4.04
M=4096,fp16,0.3464,0.0280,0.0553,12.35,6.26
M=4096,bf16,0.3477,0.0280,0.0556,12.41,6.25
M=4096,fp32,0.2424,0.0316,0.0598,7.66,4.05
M=4608,fp16,0.4388,0.0364,0.0682,12.05,6.44
M=4608,bf16,0.4396,0.0361,0.0686,12.17,6.41
M=4608,fp32,0.3018,0.0411,0.0680,7.35,4.44
M=5120,fp16,0.5369,0.0416,0.0829,12.90,6.47
M=5120,bf16,0.5374,0.0418,0.0836,12.86,6.43
M=5120,fp32,0.3680,0.0467,0.0826,7.88,4.45
M=5632,fp16,0.6420,0.0517,0.0996,12.41,6.45
M=5632,bf16,0.6441,0.0512,0.1001,12.58,6.44
M=5632,fp32,0.4415,0.0577,0.0989,7.66,4.46
M=6144,fp16,0.7596,0.0551,0.1176,13.78,6.46
M=6144,bf16,0.7628,0.0554,0.1183,13.76,6.45
M=6144,fp32,0.5229,0.0638,0.1168,8.20,4.48
M=6656,fp16,0.8852,0.0699,0.1372,12.66,6.45
M=6656,bf16,0.8881,0.0692,0.1382,12.83,6.43
M=6656,fp32,0.6110,0.0774,0.1363,7.89,4.48
M=7168,fp16,1.0237,0.0893,0.1584,11.47,6.46
M=7168,bf16,1.0257,0.0884,0.1595,11.60,6.43
M=7168,fp32,0.7076,0.0928,0.1572,7.63,4.50
M=7680,fp16,1.1676,0.1027,0.1811,11.37,6.45
M=7680,bf16,1.1746,0.1034,0.1824,11.36,6.44
M=7680,fp32,0.8081,0.1049,0.1798,7.70,4.49
M=8192,fp16,1.3249,0.0918,0.2054,14.44,6.45
M=8192,bf16,1.3293,0.0918,0.2069,14.48,6.42
M=8192,fp32,0.9177,0.1058,0.2038,8.67,4.50
M=8704,fp16,1.4906,0.1152,0.2314,12.94,6.44
M=8704,bf16,1.4971,0.1140,0.2329,13.13,6.43
M=8704,fp32,1.0324,0.1270,0.2294,8.13,4.50
M=9216,fp16,1.6695,0.1207,0.2587,13.83,6.45
M=9216,bf16,1.6735,0.1215,0.2606,13.78,6.42
M=9216,fp32,1.1548,0.1336,0.2567,8.64,4.50
M=9728,fp16,1.8566,0.1424,0.2878,13.04,6.45
M=9728,bf16,1.8649,0.1409,0.2898,13.23,6.43
M=9728,fp32,1.2866,0.1568,0.2854,8.20,4.51
M=10240,fp16,2.0510,0.1414,0.3185,14.51,6.44
M=10240,bf16,2.0588,0.1424,0.3208,14.45,6.42
M=10240,fp32,1.4230,0.1633,0.3156,8.71,4.51
