params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
M=512,fp16,0.0269,0.0041,0.0028,6.49,9.71
M=512,bf16,0.0257,0.0040,0.0026,6.40,9.80
M=512,fp32,0.0184,0.0045,0.0030,4.12,6.21
M=1024,fp16,0.0379,0.0074,0.0051,5.09,7.46
M=1024,bf16,0.0396,0.0075,0.0051,5.30,7.78
M=1024,fp32,0.0276,0.0077,0.0052,3.56,5.30
M=1536,fp16,0.0587,0.0140,0.0096,4.18,6.11
M=1536,bf16,0.0601,0.0132,0.0096,4.56,6.26
M=1536,fp32,0.0404,0.0144,0.0101,2.82,4.01
M=2048,fp16,0.0875,0.0192,0.0154,4.55,5.67
M=2048,bf16,0.0875,0.0189,0.0155,4.63,5.65
M=2048,fp32,0.0614,0.0205,0.0172,3.00,3.57
M=2560,fp16,0.1376,0.0274,0.0230,5.02,5.98
M=2560,bf16,0.1376,0.0273,0.0232,5.04,5.94
M=2560,fp32,0.0994,0.0295,0.0256,3.37,3.89
M=3072,fp16,0.1992,0.0380,0.0324,5.25,6.16
M=3072,bf16,0.1995,0.0381,0.0325,5.24,6.13
M=3072,fp32,0.1416,0.0399,0.0351,3.55,4.04
M=3584,fp16,0.2673,0.0495,0.0431,5.40,6.21
M=3584,bf16,0.2684,0.0496,0.0434,5.41,6.18
M=3584,fp32,0.1886,0.0519,0.0467,3.64,4.03
M=4096,fp16,0.3451,0.0624,0.0554,5.53,6.23
M=4096,bf16,0.3456,0.0623,0.0557,5.55,6.21
M=4096,fp32,0.2423,0.0652,0.0599,3.71,4.05
M=4608,fp16,0.4372,0.0779,0.0692,5.61,6.32
M=4608,bf16,0.4395,0.0779,0.0696,5.64,6.32
M=4608,fp32,0.3023,0.0815,0.0746,3.71,4.05
M=5120,fp16,0.5357,0.0956,0.0847,5.61,6.32
M=5120,bf16,0.5365,0.0954,0.0852,5.62,6.29
M=5120,fp32,0.3679,0.0996,0.0914,3.69,4.03
M=5632,fp16,0.6432,0.1135,0.1018,5.67,6.32
M=5632,bf16,0.6446,0.1135,0.1024,5.68,6.29
M=5632,fp32,0.4427,0.1184,0.1097,3.74,4.04
M=6144,fp16,0.7593,0.1349,0.1206,5.63,6.30
M=6144,bf16,0.7630,0.1348,0.1213,5.66,6.29
M=6144,fp32,0.5230,0.1405,0.1297,3.72,4.03
M=6656,fp16,0.8864,0.1561,0.1409,5.68,6.29
M=6656,bf16,0.8895,0.1561,0.1418,5.70,6.27
M=6656,fp32,0.6109,0.1628,0.1514,3.75,4.03
M=7168,fp16,1.0231,0.1802,0.1630,5.68,6.28
M=7168,bf16,1.0250,0.1802,0.1638,5.69,6.26
M=7168,fp32,0.7066,0.1898,0.1750,3.72,4.04
M=7680,fp16,1.1677,0.2056,0.1865,5.68,6.26
M=7680,bf16,1.1733,0.2056,0.1876,5.71,6.25
M=7680,fp32,0.8095,0.2146,0.2004,3.77,4.04
M=8192,fp16,1.3255,0.2316,0.2119,5.72,6.26
M=8192,bf16,1.3300,0.2314,0.2130,5.75,6.24
M=8192,fp32,0.9173,0.2420,0.2274,3.79,4.03
M=8704,fp16,1.4907,0.2623,0.2387,5.68,6.24
M=8704,bf16,1.4966,0.2624,0.2401,5.70,6.23
M=8704,fp32,1.0313,0.2737,0.2562,3.77,4.03
M=9216,fp16,1.6712,0.2954,0.2672,5.66,6.25
M=9216,bf16,1.6746,0.2955,0.2688,5.67,6.23
M=9216,fp32,1.1565,0.3078,0.2868,3.76,4.03
M=9728,fp16,1.8573,0.3261,0.2974,5.69,6.24
M=9728,bf16,1.8623,0.3260,0.2991,5.71,6.23
M=9728,fp32,1.2877,0.3403,0.3190,3.78,4.04
M=10240,fp16,2.0525,0.3632,0.3291,5.65,6.24
M=10240,bf16,2.0614,0.3635,0.3310,5.67,6.23
M=10240,fp32,1.4247,0.3786,0.3530,3.76,4.04
