"Kernel Name","add_kernel_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x700ee1800","      MOV R1, c[0x0][0x28]","21","19","21","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","13","0","0","0","0","0","0"
"0x700ee1810","      S2R R0, SR_CTAID.X","9","4","9","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x700ee1820","      MOV R7, 0x4","5","0","5","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1830","      ULDC.64 UR4, c[0x0][0x118]","15","10","15","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1840","      S2R R3, SR_TID.X","79","78","79","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74","0","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","74","0","0","0","0","0","0","0","4"
"0x700ee1850","      LEA R0, R0, R3, 0x8","1375","1334","1375","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1368","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1333","0","0","1"
"0x700ee1860","      SHF.L.U32 R6, R0, 0x2, RZ","14","10","14","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"0x700ee1870","      IMAD.WIDE R2, R6, R7, c[0x0][0x168]","13","7","13","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"0x700ee1880","      IMAD.WIDE R4, R6, R7, c[0x0][0x170]","22","10","22","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","5","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"0x700ee1890","      LDG.E.128.CONSTANT R8, [R2.64]","55","33","55","163840","5242880","5242880","32","32","Global","Load","128","655360","0","0","2621440","2621440","","0","0","0","0","0","0","0","0","13","0","0","19","0","0","0","14","0","0","0","9","0","0","0","0","0","0","0","0","0","19","0","0","0","14","0","0","0","0","0","0","0","0"
"0x700ee18a0","      LDG.E.128.CONSTANT R12, [R4.64]","101","92","101","163840","5242880","5242880","32","32","Global","Load","128","655360","0","0","2621440","2621440","","0","0","0","0","0","0","0","0","8","0","0","47","0","0","0","27","0","0","0","3","0","0","0","16","0","0","5","0","0","47","0","0","0","27","0","0","0","0","0","0","0","13"
