"Kernel Name","add_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x700ee1800","      MOV R1, c[0x0][0x28]","39","27","39","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","8","0","0","7","0","0","0","20","4","0","0","0","0","0","0","0","0","0","8","0","0","3","0","0","0","16","0","0","0","0","0","0"
"0x700ee1810","      S2R R0, SR_TID.X","100","97","100","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91","0","0","0","3","0","0","0","6","0","0","0","0","0","0","0","0","0","91","0","0","0","0","0","0","0","6"
"0x700ee1820","      MOV R7, 0x4","3","0","3","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1830","      CS2R R8, SRZ","9","5","9","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"0x700ee1840","      CS2R R10, SRZ","11","4","11","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"0x700ee1850","      S2R R3, SR_CTAID.X","5","0","5","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1860","      CS2R R12, SRZ","1","0","1","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1870","      CS2R R14, SRZ","5","3","5","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"0x700ee1880","      ULDC.64 UR4, c[0x0][0x118]","13","12","13","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1890","      SHF.L.U32 R0, R0, 0x2, RZ","1622","1583","1622","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","5","1613","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1582","0","0","0"
"0x700ee18a0","      LOP3.LUT R0, R0, 0x3fc, RZ, 0xc0, !PT","15","9","15","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","1","2","0","0","0","9","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8"
"0x700ee18b0","      LEA R0, R3, R0, 0xa","19","16","19","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","2","0","0","0","13","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","13"
"0x700ee18c0","      ISETP.GE.AND P0, PT, R0, c[0x0][0x178], PT","14","10","14","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"0x700ee18d0","      IMAD.WIDE R2, R0, R7, c[0x0][0x160]","2","0","2","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee18e0","      IMAD.WIDE R4, R0, R7, c[0x0][0x168]","19","12","19","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","1","2","0","0","0","11","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7"
"0x700ee18f0","@!P0  LDG.E.128 R8, [R2.64]","99","80","99","163840","5242880","5242880","32","32","Global","Load","128","655360","0","0","2621440","2621440","","0","0","0","0","0","0","0","0","1","0","0","38","0","0","0","16","0","0","0","3","0","0","0","41","0","0","1","0","0","36","0","0","0","15","0","0","0","0","0","0","0","28"
"0x700ee1900","@!P0  LDG.E.128 R12, [R4.64]","73","67","73","163840","5242880","5242880","32","32","Global","Load","128","655360","0","0","2621440","2621440","","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","16","0","0","2","0","0","0","0","17","0","0","0","0","0","38","0","0","0","16","0","0","0","0","0","0","0","13"
"0x700ee1910","      IMAD.WIDE R6, R0, R7, c[0x0][0x170]","4","0","4","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1920","      FADD R8, R12, R8","32674","31830","32674","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","32672","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","31830","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1930","      FADD R9, R13, R9","6","0","6","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1940","      FADD R10, R14, R10","2","0","2","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1950","      FADD R11, R15, R11","4","0","4","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1960","@P0   EXIT","6","0","6","163840","5242880","0","32","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1970","      STG.E.128 [R6.64], R8","218","212","218","163840","5242880","5242880","32","32","Global","Store","128","655360","0","0","2621440","2621440","","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","101","0","0","0","4","0","0","0","38","0","0","0","0","0","74","0","0","0","100","0","0","0","0","0","0","0","38"
"0x700ee1980","      EXIT","2","0","2","163840","5242880","5242880","32","32","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1990","      BRA 0x700ee1990","6121","6005","6121","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","30","0","6062","0","0","0","0","0","0","0","0","0","6","0","0","0","23","0","29","0","5954","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"0x700ee19a0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee19b0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee19c0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee19d0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee19e0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee19f0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1a00","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1a10","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1a20","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1a30","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1a40","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1a50","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1a60","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x700ee1a70","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
